position,positionLabel,country,countryLabel,jurisdiction,jurisdictionLabel,inception,abolished,predecessor,predecessorLabel,successor,successorLabel,deputy,deputyLabel,list,listLabel
Q878256,President of Yemen,Q805,Yemen,Q805,Yemen,1990-05-22,,Q865728,President of Yemen Arab Republic,,,Q3205776,Vice President of Yemen,Q20388253,list of the presidents of Yemen
Q1192903,Prime Minister of Yemen,Q805,Yemen,Q805,Yemen,1990-05-22,,Q3495236,list of leaders of South Yemen,,,,,Q22947365,list of heads of government of Yemen
Q3205776,Vice President of Yemen,Q805,Yemen,Q805,Yemen,1990-05-22,,,,,,,,,
Q18345286,Minister of Foreign Affairs of Yemen,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q24810166,Minister of Defence,Q805,Yemen,Q805,Yemen,1990-05-22,,,,,,,,,
Q24810806,member of Yemeni House of Representatives,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q25040191,Deputy Prime Minister of Yemen,Q805,Yemen,Q805,Yemen,1990-05-22,,,,,,,,,
Q28122510,Chief of the General Staff of Yemen,Q805,Yemen,,,,,,,,,,,,
Q28471382,Sultan of Qu'alti,,,Q202775,Qu'aiti Sultanate,,,,,,,,,,
Q28481301,Minister of Interior of Yemen,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492149,Minister of Public Works and Highways,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492150,Minister of Endowments and Guidance,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492151,Minister of Communication of Yemen,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492152,Minister of Local Administration,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492154,Minister of Technical Education and Vocational Training,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492155,Minister of Agriculture and Irrigation,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492156,Minister of Information,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492157,Minister of Fisheries,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492158,Minister of Youth and Sports,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492159,Minister of Tourism,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492160,Minister of Planning and International Cooperation,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492161,Minister of Finance,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492162,Minister of Culture,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492163,Minister of Human Rights,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492164,Minister of Public Health and Population,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492165,Minister of Education,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492167,Minister of Water and Environment,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492170,Minister of Industry and Trade,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492172,Minister of Higher Education and Scientific Research,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492173,Minister of Social Affairs and Labor,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492175,Minister of Civil Service and Insurance,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492176,Minister of Expatriate Affairs,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492178,Minister of Legal Affairs,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492179,Minister of Oil and Minerals,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492180,Minister of Parliament and Shura Affairs,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492181,Minister of Justice,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492183,Minister of Transport,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q28492184,Minister of Electricity and Energy,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q34924573,Member of the Shura Council,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q38070253,Yemenite Ambassador to China,Q805,Yemen,,,,,,,,,,,Q112210823,list of Yemenite Ambassadors to China
Q38251796,Yemenite Ambassador to the United States,Q30,United States of America,,,,,,,,,,,Q112210847,list of ambassadors of Yemen to the United-States
Q38251887,ambassador of Yemen to Belgium,Q31,Belgium,,,,,,,,,,,Q112210841,list of ambassadors of Yemen to Belgium
Q38251922,Yemeni Ambassador to the United Kingdom,Q805,Yemen,,,,,,,,,,,,
Q38251984,Yemeni Ambassador to Russia,Q805,Yemen,,,,,,,,,,,,
Q38281623,Yemeni ambassador,Q805,Yemen,,,,,,,,,,,,
Q40338023,ambassador of Yemen to Canada,Q805,Yemen,,,,,,,,,,,,
Q54101085,Permanent Representative of Yemen to the United Nations,Q805,Yemen,,,,,,,,,,,,
Q59349539,Minister of Cabinet Affairs,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q60050319,Governor of Amran Governorate,Q805,Yemen,Q275720,'Amran Governorate,,,,,,,,,,
Q60297521,Governor of Ta'izz Governorate,Q805,Yemen,Q388330,Ta'izz Governorate,,,,,,,,,,
Q60297522,Governor of Ma'rib Governorate,Q805,Yemen,Q498465,Ma'rib Governorate,,,,,,,,,,
Q60297523,Governor of Al Bayda' Governorate,Q805,Yemen,Q221212,Al Bayda' Governorate,,,,,,,,,,
Q60297533,Governor of Shabwah Governorate,Q805,Yemen,Q328180,Shabwah Governorate,,,,,,,,,,
Q60315487,Governor of Hadhramaut Governorate,Q805,Yemen,Q241135,Hadhramaut Governorate,,,,,,,,,,
Q60315580,Governor of 'Adan Governorate,Q805,Yemen,Q275729,'Adan Governorate,,,,,,,,,,
Q60315610,Governor of Al Hudaydah Governorate,Q805,Yemen,Q275755,Al Hudaydah Governorate,,,,,,,,,,
Q60315611,Governor of Al Jawf Governorate,Q805,Yemen,Q328128,Al Jawf Governorate,,,,,,,,,,
Q60315669,Governor of Socotra Governorate,Q805,Yemen,Q15728745,Socotra Governorate,,,,,,,,,,
Q63143442,speaker of House of Representatives of Yemen,Q805,Yemen,Q805,Yemen,1990-05-22,,,,,,,,,
Q66691704,ambassador of Yemen to Lebanon,Q805,Yemen,,,,,,,,,,,,
Q68838088,Governor of the Central Bank of Yemen,Q805,Yemen,Q1797039,Central Bank of Yemen,,,,,,,,,,
Q114774402,ambassador of Yemen to Austria,,,,,,,,,,,,,,
Q114774403,ambassador of Yemen to Slovenia,,,,,,,,,,,,,,
Q114774404,ambassador of Yemen to Slovakia,,,,,,,,,,,,,,
Q114774405,ambassador of Yemen to Croatia,,,,,,,,,,,,,,
Q114869362,Minister of Sanaâ€™a Secretariat,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q114869363,Minister of State,Q805,Yemen,Q805,Yemen,,,,,,,,,,
Q114869364,Minister of State for National Dialogue,Q805,Yemen,Q805,Yemen,,,,,,,,,,
